100     0.31    0.02    0.57
200     1.25    0.87    1.42
300     2.52    2.05    3.42
400     4.63    3.88    4.82
500     6.66    6.3     7.78
600     6.92    5.93    7.43
700     9.55    8.68    10.1
800     7.02    6.42    7.43
900     8.44    7.39    8.93
1000    7.51    7       8.98
