100000000 12.34 11.98 14.25
200000000 29.12 28.74 29.31
300000000 49.09 48.56 49.49
400000000 71.17 70.58 71.33
500000000 95.69 95.01 96.63
600000000 123.74 121.5 124.37
700000000 151.49 147.49 154.2
800000000 185.72 179.91 188.2
900000000 217.74 212.37 220.89
1000000000 252.7 239.85 256.62
